Date,Route_Direction,Mode_of_Transport,Segment,Start_Time,Stop_Time,Duration
05/06/2024,In-Run,Trotro,Full Route,07:29 AM,08:19 AM,49:25.73
05/06/2024,In-Run,Trotro,Shangrila to Airport 2nd,07:41 AM,07:50 AM,05:31
05/06/2024,Outrun,Trotro,Full Route,04:46 PM,05:03 PM,17:56.45
05/06/2024,Outrun,Trotro,Airport 2nd to Shangrila,04:49 PM,04:53 PM,03:41.51
06/08/2024,In-Run,Trotro,Full Route,07:56 AM,08:50 AM,54:19.52
06/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,08:33 AM,08:40 AM,07:00
07/08/2024,In-Run,Trotro,Full Route,07:36 AM,08:23 AM,46:31.59
07/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,08:07 AM,08:15 AM,07:46.07
07/08/2024,Outrun,Motorbike,Full Route,06:04 PM,06:21 PM,21:01.15
07/08/2024,Outrun,Motorbike,Airport 2nd to Shangrila,06:07 PM,06:17 PM,05:44
08/08/2024,In-Run,Trotro,Full Route,09:49 AM,10:10 AM,21:04
08/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,10:02 AM,10:06 AM,04:23
08/08/2024,Outrun,Trotro,Full Route,05:36 PM,06:31 PM,54:46.54
08/08/2024,Outrun,Trotro,Airport 2nd to Shangrila,06:04 PM,06:09 PM,05:08
09/08/2024,In-Run,Trotro,Full Route,07:41 AM,08:07 AM,24:04.87
09/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,07:53 AM,07:56 AM,04:04
09/08/2024,Outrun,Trotro,Full Route,05:18 PM,06:02 PM,43:08.08
09/08/2024,Outrun,Trotro,Airport 2nd to Shangrila,06:21 PM,06:25 PM,04:11
10/08/2024,In-Run,Trotro,Full Route,10:25 AM,10:47 AM,21:29.47
10/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,10:39 AM,10:42 AM,03:00
10/08/2024,Outrun,Motorbike,Full Route,04:56 PM,05:11 PM,15:20.53
10/08/2024,Outrun,Motorbike,Airport 2nd to Shangrila,04:57 PM,05:01 PM,04:00
26/08/2024,In-Run,Car (private),Full Route,07:50 AM,08:18 AM,26:52
26/08/2024,In-Run,Car (private),Shangrila to Airport 2nd,08:09 AM,08:13 AM,04:00
26/08/2024,Outrun,Motorcycle,Full Route,05:16 PM,06:01 PM,21:01.15
26/08/2024,Outrun,Motorcycle,Airport 2nd to Shangrila,06:07 PM,06:12 PM,05:44
27/08/2024,In-Run,Car (private),Full Route,07:24 AM,07:53 AM,28:44.95
27/08/2024,In-Run,Car (private),Shangrila to Airport 2nd,07:42 AM,07:44 AM,02:58
27/08/2024,Outrun,Motorbike,Full Route,06:04 PM,06:21 PM,21:01.15
27/08/2024,Outrun,Motorbike,Airport 2nd to Shangrila,06:07 PM,06:17 PM,05:44
28/08/2024,In-Run,Car (private),Full Route,07:44 AM,08:15 AM,30:04.90
28/08/2024,In-Run,Car (private),Shangrila to Airport 2nd,07:59 AM,08:02 AM,02:21.94
28/08/2024,Outrun,Motorcycle,Full Route,05:30 PM,05:44 PM,14:48.03
28/08/2024,Outrun,Motorcycle,Airport 2nd to Shangrila,05:34 PM,05:36 PM,01:31
28/08/2024,Outrun,Motorcycle,Shiahsie Traffic Stop,05:37 PM,05:37 PM,00:41.71
28/08/2024,Outrun,Motorcycle,UPSA Traffic Stop,05:38 PM,05:39 PM,01:01
29/08/2024,In-Run,Car (private),Full Route,07:50 AM,08:06 AM,15:51.84
29/08/2024,In-Run,Car (private),Shangrila to Airport 2nd,08:00 AM,08:02 AM,02:21.34
29/08/2024,Outrun,Motorbike,Full Route,06:04 PM,06:21 PM,21:01.15
29/08/2024,Outrun,Motorbike,Airport 2nd to Shangrila,06:07 PM,06:10 PM,03:00
30/08/2024,In-Run,Car (private),Full Route,07:10 AM,07:31 AM,21:33.28
30/08/2024,In-Run,Car (private),Shangrila to Airport 2nd,,,03:36
30/08/2024,Outrun,Motorcycle,Full Route,05:14 PM,05:29 PM,14:48.03
30/08/2024,Outrun,Motorcycle,Airport 2nd to Shangrila,05:18 PM,05:19 PM,02:00
30/08/2024,Outrun,Motorcycle,Shiahsie Traffic Stop,05:20 PM,05:20 PM,00:51.36
30/08/2024,Outrun,Motorcycle,Okponglo Traffic Stop,05:21 PM,05:21 PM,00:30
31/08/2024,In-Run,Car (private),Full Route,07:55 AM,08:11 AM,15:50.57
31/08/2024,In-Run,Car (private),Shangrila to Airport 2nd,08:05 AM,08:07 AM,02:00
31/08/2024,Outrun,Motorcycle,Full Route,05:31 PM,05:48 PM,17:33.28
31/08/2024,Outrun,Motorcycle,Shangrila to Airport 2nd,05:38 PM,05:41 PM,03:36
