Date,Route_Direction,Mode_of_Transport,Segment,Start_Time,Stop_Time,Duration
05/06/2024,In-Run,Trotro,Full Route,07:29 AM,08:19 AM,49:25.73
05/06/2024,In-Run,Trotro,Shangrila to Airport 2nd,07:41 AM,07:50 AM,05:31
05/06/2024,Outrun,Trotro,Full Route,04:46 PM,05:03 PM,17:56.45
05/06/2024,Outrun,Trotro,Airport 2nd to Shangrila,04:49 PM,04:53 PM,03:41.51
06/08/2024,In-Run,Trotro,Full Route,07:56 AM,08:50 AM,54:19.52
06/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,08:33 AM,08:40 AM,07:00
07/08/2024,In-Run,Trotro,Full Route,07:36 AM,08:23 AM,46:31.59
07/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,08:07 AM,08:15 AM,07:46.07
07/08/2024,Outrun,Motorbike,Full Route,06:04 PM,06:21 PM,21:01.15
07/08/2024,Outrun,Motorbike,Airport 2nd to Shangrila,06:07 PM,06:17 PM,05:44
08/08/2024,In-Run,Trotro,Full Route,09:49 AM,10:10 AM,21:04
08/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,10:02 AM,10:06 AM,04:23
08/08/2024,Outrun,Trotro,Full Route,05:36 PM,06:31 PM,54:46.54
08/08/2024,Outrun,Trotro,Airport 2nd to Shangrila,06:04 PM,06:09 PM,05:08
09/08/2024,In-Run,Trotro,Full Route,07:41 AM,08:07 AM,24:04.87
09/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,07:53 AM,07:56 AM,04:04
09/08/2024,Outrun,Trotro,Full Route,05:18 PM,06:02 PM,43:08.08
09/08/2024,Outrun,Trotro,Airport 2nd to Shangrila,06:21 PM,06:25 PM,04:11
10/08/2024,In-Run,Trotro,Full Route,10:25 AM,10:47 AM,21:29.47
10/08/2024,In-Run,Trotro,Shangrila to Airport 2nd,10:39 AM,10:42 AM,03:00
10/08/2024,Outrun,Motorbike,Full Route,04:56 PM,05:11 PM,15:20.53
10/08/2024,Outrun,Motorbike,Airport 2nd to Shangrila,04:57 PM,05:01 PM,04:00
